dataset,outcome,term,B,SE,OR,p,CI_low,CI_high
Loan,final_correct,const,-0.41367104747848643,0.0762599666369545,0.6612184249628537,5.8121860473702095e-08,0.5694195128689461,0.7678166898558363
Loan,final_correct,human_advantage,0.4424914860139766,0.15200794791294361,1.5565805900519043,0.003603017083774834,1.155532622546283,2.096819324743285
Loan,override,const,0.41367104747848643,0.07625996663695447,1.512359550561796,5.812186047370105e-08,1.3023941954006732,1.7561744502952314
Loan,override,human_advantage,-0.38485060894299533,0.11810228807295259,0.6805522970377903,0.0011195507938430082,0.5399240270025223,0.8578085171994932
Chess,final_correct,const,-0.9908607495864864,0.36187727307575895,0.37125699414811486,0.006179290012367376,0.1826602933668201,0.754579734672266
Chess,final_correct,human_advantage,0.7132473812292642,0.23085227875034114,2.0406071400110743,0.0020040815811373652,1.2979488738872234,3.2081983995203083
Chess,final_correct,selfconf,1.259700781338093,0.44634064792143696,3.524366773268214,0.004768269335404763,1.4694514774687535,8.45292365414708
Chess,final_correct,aiconf,1.157974157283423,0.42167794180379004,3.1834775144092062,0.006030647672357364,1.393056951845348,7.275028541599868
Chess,final_correct,trial_scaled,0.08622426119952005,0.0630717762430435,1.090050756986469,0.17159974773675168,0.963296378519707,1.2334839819835013
Chess,override,const,0.251853299532983,0.29933620072712164,1.2864073068890658,0.40013918917044966,0.7154562176224659,2.312990953823553
Chess,override,human_advantage,1.0183500570319213,0.16519609991691833,2.7686229234396094,7.070971580761835e-10,2.0028509705759747,3.8271808560928173
Chess,override,selfconf,0.5669446805284397,0.40351357366149887,1.7628726756476232,0.1600153021755908,0.7993731738521863,3.887696225242185
Chess,override,aiconf,-1.2296992736565409,0.501587498132245,0.2923804909772251,0.014221686091489572,0.1093947143466763,0.7814486468987295
Chess,override,trial_scaled,-0.12477756309424128,0.05766586704767124,0.8826932242987359,0.030479489147539063,0.7883598856979713,0.9883142741757888
